Date,Q(m3/s)
1994-04-01,0.545189
1994-05-01,0.48532
1994-06-01,0.46902
1994-07-01,0.431205
1994-08-01,0.40532
1994-09-01,0.389514
1994-10-01,0.351111
1994-11-01,0.340411
1994-12-01,0.310901
1995-01-01,0.293866
1995-02-01,0.307219
1995-03-01,0.260516
1995-04-01,0.250905
1995-05-01,0.225367
1995-06-01,0.215915
1995-07-01,0.19453
1995-08-01,0.181667
1995-09-01,0.176417
1995-10-01,0.161207
1995-11-01,0.157689
1995-12-01,0.145369
1996-01-01,0.138694
1996-02-01,0.14103
1996-03-01,0.124654
1996-04-01,0.121764
1996-05-01,0.111086
1996-06-01,0.107687
1996-07-01,0.0977565
1996-08-01,0.0975526
1996-09-01,0.102308
1996-10-01,0.0951109
1996-11-01,0.0936065
1996-12-01,0.0866667
1997-01-01,0.083004
1997-02-01,0.0877447
1997-03-01,0.0750997
1997-04-01,0.0729379
1997-05-01,0.0661369
1997-06-01,0.154465
1997-07-01,0.272784
1997-08-01,0.5268
1997-09-01,0.815992
1997-10-01,0.76601
1997-11-01,0.743495
1997-12-01,0.67121
1998-01-01,0.626198
1998-02-01,0.646689
1998-03-01,0.542372
1998-04-01,0.518202
1998-05-01,0.462694
1998-06-01,0.470093
1998-07-01,0.453928
1998-08-01,0.427823
1998-09-01,0.412747
1998-10-01,0.373074
1998-11-01,0.361825
1998-12-01,0.330509
1999-01-01,0.312457
1999-02-01,0.326605
1999-03-01,0.281056
1999-04-01,0.275284
1999-05-01,0.248067
1999-06-01,0.246353
1999-07-01,0.232932
1999-08-01,0.224086
1999-09-01,0.228544
1999-10-01,0.222433
1999-11-01,0.224212
1999-12-01,0.206377
2000-01-01,0.196179
2000-02-01,0.198904
2000-03-01,0.175346
2000-04-01,0.169634
2000-05-01,0.176902
2000-06-01,0.2482
2000-07-01,0.319259
2000-08-01,0.351088
2000-09-01,0.353932
2000-10-01,0.324752
2000-11-01,0.316173
2000-12-01,0.289215
2001-01-01,0.27373
2001-02-01,0.286376
2001-03-01,0.249297
2001-04-01,0.246556
2001-05-01,0.222087
2001-06-01,0.21363
2001-07-01,0.192384
2001-08-01,0.196672
2001-09-01,0.211702
2001-10-01,0.196804
2001-11-01,0.192689
2001-12-01,0.180015
2002-01-01,0.173962
2002-02-01,0.182856
2002-03-01,0.155636
2002-04-01,0.172796
2002-05-01,0.271832
2002-06-01,0.405428
2002-07-01,0.491136
2002-08-01,0.635469
2002-09-01,0.715509
