Date,Q(m3/s)
1994-04-01,0.393117
1994-05-01,0.318957
1994-06-01,0.289375
1994-07-01,0.259014
1994-08-01,0.240324
1994-09-01,0.252528
1994-10-01,0.242278
1994-11-01,0.257803
1994-12-01,0.277685
1995-01-01,0.27629
1995-02-01,0.258004
1995-03-01,0.208478
1995-04-01,0.244205
1995-05-01,0.217822
1995-06-01,0.206152
1995-07-01,0.184009
1995-08-01,0.170852
1995-09-01,0.165493
1995-10-01,0.163428
1995-11-01,0.152304
1995-12-01,0.164258
1996-01-01,0.164158
1996-02-01,0.166928
1996-03-01,0.14848
1996-04-01,0.144211
1996-05-01,0.131259
1996-06-01,0.12763
1996-07-01,0.116934
1996-08-01,0.116873
1996-09-01,0.125658
1996-10-01,0.129018
1996-11-01,0.140343
1996-12-01,0.150937
1997-01-01,0.143924
1997-02-01,0.153218
1997-03-01,0.132928
1997-04-01,0.12782
1997-05-01,0.121115
1997-06-01,0.259008
1997-07-01,0.278134
1997-08-01,0.471611
1997-09-01,0.458489
1997-10-01,0.43337
1997-11-01,0.337627
1997-12-01,0.614797
1998-01-01,0.614797
1998-02-01,0.680668
1998-03-01,0.614797
1998-04-01,0.63529
1998-05-01,0.563953
1998-06-01,0.542284
1998-07-01,0.485751
1998-08-01,0.430911
1998-09-01,0.40576
1998-10-01,0.401093
1998-11-01,0.426978
1998-12-01,0.424456
1999-01-01,0.381235
1999-02-01,0.3954
1999-03-01,0.359718
1999-04-01,0.3388
1999-05-01,0.29873
1999-06-01,0.291979
1999-07-01,0.26424
1999-08-01,0.261842
1999-09-01,0.264916
1999-10-01,0.263809
1999-11-01,0.322121
1999-12-01,0.391535
2000-01-01,0.280867
2000-02-01,0.240954
2000-03-01,0.183587
2000-04-01,0.163587
2000-05-01,0.258153
2000-06-01,0.298777
2000-07-01,0.311087
2000-08-01,0.305554
2000-09-01,0.303859
2000-10-01,0.293135
2000-11-01,0.313873
2000-12-01,0.385934
2001-01-01,0.486304
2001-02-01,0.634314
2001-03-01,0.580737
2001-04-01,0.470496
2001-05-01,0.394269
2001-06-01,0.361035
2001-07-01,0.319448
2001-08-01,0.323199
2001-09-01,0.31396
2001-10-01,0.340782
2001-11-01,0.380475
2001-12-01,0.46866
2002-01-01,0.3947
2002-02-01,0.381174
2002-03-01,0.306907
2002-04-01,0.304367
2002-05-01,0.474439
2002-06-01,0.514585
2002-07-01,0.614797
2002-08-01,0.614797
2002-09-01,0.63529
2002-10-01,0.614797
2002-11-01,0.63529
2002-12-01,0.614797
2003-01-01,0.614797
2003-02-01,0.680668
2003-03-01,0.614797
2003-04-01,0.63529
2003-05-01,0.568318
2003-06-01,0.521255
2003-07-01,0.459376
2003-08-01,0.426362
2003-09-01,0.40919
2003-10-01,0.476099
2003-11-01,0.490825
2003-12-01,0.401585
2004-01-01,0.368386
2004-02-01,0.375391
2004-03-01,0.336232
2004-04-01,0.313134
2004-05-01,0.274753
2004-06-01,0.262375
2004-07-01,0.295225
2004-08-01,0.300882
2004-09-01,0.326603
2004-10-01,0.322584
2004-11-01,0.372725
2004-12-01,0.429436
2005-01-01,0.398634
2005-02-01,0.389682
2005-03-01,0.317727
2005-04-01,0.310847
2005-05-01,0.279364
2005-06-01,0.271777
2005-07-01,0.260858
2005-08-01,0.27174
2005-09-01,0.270506
2005-10-01,0.258952
2005-11-01,0.273497
2005-12-01,0.400417
2006-01-01,0.354369
2006-02-01,0.354015
2006-03-01,0.285204
2006-04-01,0.263963
2006-05-01,0.238603
2006-06-01,0.235311
2006-07-01,0.233623
2006-08-01,0.231287
