Date,Runoff/Infiltration from AC1 to AC3,Runoff/Infiltration from AC2 to AC3,Runoff/Infiltration from Q_AS to AC_7,Runoff/Infiltration from Q_AS to Q_AS1,Runoff/Infiltration from Q_AS to Q_AS2,Runoff/Infiltration from Q_AV to AC_4B,Runoff/Infiltration from Q_AV to Q_AguaV,Runoff/Infiltration from Q_Cam to AC3,Runoff/Infiltration from Q_Cam to Q_Cam,Runoff/Infiltration from Q_Chanch to AC2,Runoff/Infiltration from Q_Chanch to Q_Chanch,Runoff/Infiltration from Q_DelP to AC_8,Runoff/Infiltration from Q_DelP to Q_DelP,Runoff/Infiltration from Q_Honda to AC_4A,Runoff/Infiltration from Q_Honda to Q_El_J,Runoff/Infiltration from Q_Mait to AC_5,Runoff/Infiltration from Q_Mait to Q_Mait,Runoff/Infiltration from Q_S_N_1 to AC_4B,Runoff/Infiltration from Q_S_N_1 to Q_S_N1,Runoff/Infiltration from Q_S_N_2 to AC_5,Runoff/Infiltration from Q_S_N_2 to AC_6,Runoff/Infiltration from Q_S_N_2 to Q_S_N_2,Runoff/Infiltration from Q_S_N_3 to AC_6,Runoff/Infiltration from Q_S_N_3 to Q_S_N_6,Runoff/Infiltration from Q_S_N_4 to AC_6,Runoff/Infiltration from Q_S_N_4 to Q_S_N_7,Runoff/Infiltration from Q_S_N_5 to AC_7,Runoff/Infiltration from Q_S_N_5 to Q_S_N_5,Runoff/Infiltration from Q_S_N_6 to AC_8,Runoff/Infiltration from Q_S_N_6 to Q_S_N_3,Runoff/Infiltration from R_Car_Hu to R_Car_Hu 2,Runoff/Infiltration from R_Car_Hu to R_Car_Hu 3,Runoff/Infiltration from R_Car_Hu to R_Car_Hu 4,Runoff/Infiltration from R_Car_Hu to R_Car_Hu_1,Runoff/Infiltration from R_Car_Pot to AC1,Runoff/Infiltration from R_Car_Pot to R_Car_Pot,Runoff/Infiltration from R_Chollay to AC2,Runoff/Infiltration from R_Chollay to R_Chollay,Runoff/Infiltration from R_Lag_Ch to AC2,Runoff/Infiltration from R_Lag_Ch to R_Emb_Ch,Runoff/Infiltration from R_Lag_Grande to AC2,Runoff/Infiltration from R_Lag_Grande to R_Lag_Grande,Runoff/Infiltration from R_Pot to AC1,Runoff/Infiltration from R_Pot to R_Pot,Runoff/Infiltration from R_Transito to AC2,Runoff/Infiltration from R_Transito to R_SubTra1,Runoff/Infiltration from R_Transito to R_SubTra2,Runoff/Infiltration from R_Transito to R_SubTra3,Runoff/Infiltration from R_Transito to R_SubTra4,Runoff/Infiltration from R_Vel to AC2,Runoff/Infiltration from R_Vel to R_Vel,Runoff/Infiltration from ZR1_1_notec to AC1,Runoff/Infiltration from ZR1_1_notec to R_Car_Hu,Runoff/Infiltration from ZR1_1_tec to AC1,Runoff/Infiltration from ZR1_1_tec to R_Car_Hu,Runoff/Infiltration from ZR1_2_notec to AC1,Runoff/Infiltration from ZR1_2_notec to R_Car_Hu,Runoff/Infiltration from ZR1_2_tec to AC1,Runoff/Infiltration from ZR1_2_tec to R_Car_Hu,Runoff/Infiltration from ZR2_1_notec to AC2,Runoff/Infiltration from ZR2_1_notec to R_Tra,Runoff/Infiltration from ZR2_1_tec to AC2,Runoff/Infiltration from ZR2_1_tec to R_Tra,Runoff/Infiltration from ZR2_2_notec to AC2,Runoff/Infiltration from ZR2_2_notec to R_Tra,Runoff/Infiltration from ZR2_2_tec to AC2,Runoff/Infiltration from ZR2_2_tec to R_Tra,Runoff/Infiltration from ZR3_notec to AC3,Runoff/Infiltration from ZR3_notec to R_Huas_Emb,Runoff/Infiltration from ZR3_tec to AC3,Runoff/Infiltration from ZR3_tec to R_Huas_Emb,Runoff/Infiltration from ZR4_1_notec to AC_4A,Runoff/Infiltration from ZR4_1_notec to AC_4B,Runoff/Infiltration from ZR4_1_notec to R_Huas_bajoEmb,Runoff/Infiltration from ZR4_1_tec to AC_4A,Runoff/Infiltration from ZR4_1_tec to AC_4B,Runoff/Infiltration from ZR4_1_tec to R_Huas_bajoEmb,Runoff/Infiltration from ZR4_2_notec to AC_4B,Runoff/Infiltration from ZR4_2_notec to R_Huas_Subt,Runoff/Infiltration from ZR4_2_tec to AC_4B,Runoff/Infiltration from ZR4_2_tec to R_Huas_Subt,Runoff/Infiltration from ZR5_notec to AC_5,Runoff/Infiltration from ZR5_notec to R_Huas_Subt,Runoff/Infiltration from ZR5_tec to AC_5,Runoff/Infiltration from ZR5_tec to R_Huas_Subt,Runoff/Infiltration from ZR6_notec to AC_6,Runoff/Infiltration from ZR6_notec to R_Huas_Subt,Runoff/Infiltration from ZR6_tec to AC_6,Runoff/Infiltration from ZR6_tec to R_Huas_Subt,Runoff/Infiltration from ZR7_notec to AC_7,Runoff/Infiltration from ZR7_notec to R_Huas_Subt,Runoff/Infiltration from ZR7_tec to AC_7,Runoff/Infiltration from ZR7_tec to R_Huas_Subt,Runoff/Infiltration from ZR8_notec to AC_8,Runoff/Infiltration from ZR8_notec to R_Huas_Subt,Runoff/Infiltration from ZR8_tec to AC_8,Runoff/Infiltration from ZR8_tec to R_Huas_Subt
1994-04-01,0,0,1986.83712,3973.6656,3973.6656,6452.1014399999995,6452.1014399999995,11776.1472,47104.329600000005,2898.9100799999997,6764.10048,3435.53184,3435.53184,9926.8416,39707.3664,3241.0108800000003,12963.974400000001,16931.8944,16931.8944,742.26672,742.26672,5938.13376,546.59664,2186.3952,1082.12544,4328.50176,1077.58944,4310.3664,2151.91296,2151.91296,25086.5856,25086.5856,40138.3296,10034.6688,121981.248,30812.5728,48732.623999999996,73098.9792,35911.296,15186.1824,97967.232,24491.808,107756.352,39082.0032,111735.07200000001,136836.864,54734.6592,54734.6592,27367.372799999997,65667.6288,98502.048,4822.43328,4822.43328,392.707872,392.707872,1300.81248,1300.81248,140.049216,560.196864,3115.95552,12463.8048,1168.13664,4672.52928,67.8229632,271.29168,460.802304,1843.2143999999998,769.3254720000001,769.3254720000001,226.67904,226.67904,1075.82688,1613.7359999999999,0,561.166272,841.750272,0,38217.9168,0,8163.75456,0,51684.479999999996,12921.119999999999,7763.62752,1940.90688,3942.0864,985.5216,364.39891200000005,91.09929600000001,660.807072,165.20198399999998,1492.8019199999999,373.20047999999997,1417.0464,0,1165.8556800000001,0
1994-05-01,0,0,1796.7398400000002,3593.4796800000004,3593.4796800000004,5872.19328,5872.19328,10482.912,41931.648,2402.6112,5606.098559999999,2863.2614399999998,2863.2614399999998,8846.928,35387.712,2926.52352,11706.076799999999,15145.488000000001,15145.488000000001,674.583552,674.583552,5396.6736,492.077376,1968.31296,956.9232000000001,3827.6755200000002,963.6278400000001,3854.48544,1913.31072,1913.31072,23558.9472,23558.9472,37694.16,9423.561599999999,99769.53600000001,25304.1408,42859.670399999995,64289.376000000004,25774.5888,10874.0448,76282.56,19070.7264,70239.312,24393.225599999998,84094.5024,103897.728,41559.0048,41559.0048,20779.632,48884.5152,73326.816,2552.15232,2552.15232,207.83088,207.83088,320.812704,320.812704,34.539696,138.158784,1159.97184,4639.87872,434.85811199999995,1739.4307199999998,4.30468128,17.2187424,29.246832,116.987328,115.208352,115.208352,33.945696,33.945696,409.82112,614.73168,0,213.76828799999998,320.652864,0,30305.8368,0,6473.65824,0,41119.5744,10279.872,6176.64096,1544.1580800000002,3175.10496,793.774944,293.499936,73.3750272,520.688736,130.171968,1179.2304,294.807168,1159.2288,0,940.21344,0
1994-06-01,0,0,1766.8972800000001,3533.7686400000002,3533.7686400000002,5809.59648,5961.7296,10130.832,40523.328,2163.2400000000002,5047.5312,2651.28768,5693.3971200000005,8563.104000000001,35949.6576,2865.87072,11495.1744,14657.2416,14690.5056,663.7662720000001,663.7662720000001,5329.90368,480.546432,1927.4803200000001,922.00032,3697.56576,929.56032,5594.037120000001,1850.45472,3671.63712,24496.3872,24496.3872,39193.9776,9798.5376,89788.60800000001,23181.12,40610.6784,60934.98239999999,20614.2624,8669.5488,64963.987199999996,16589.1456,53910.3168,18332.352,69335.6544,86421.6,34568.64,34568.64,17284.4064,40280.3712,60421.68,1914.5808,1914.5808,155.911392,155.911392,249.72105599999998,249.72105599999998,26.8857792,107.542944,975.14496,3900.59712,365.57136,1462.28544,3.4263993599999996,13.705632,23.279616,93.118464,93.857184,93.857184,27.654566399999997,27.654566399999997,302.666112,453.999168,0,157.87526400000002,236.81289600000002,0,24786.950399999998,0,5294.74752,0,32591.808,8147.96064,4895.67456,1223.91648,2353.104,588.275136,217.51631999999998,54.3790368,367.47907200000003,91.869984,857.183904,214.29619200000002,885.7296,0,732.9795839999999,0
1994-07-01,0,0,1637.99712,3275.96832,3275.96832,5427.96768,5482.80576,9314.0064,37256.112,1863.80352,4348.87488,2405.02176,5278.58208,7799.77728,31405.881599999997,2645.3088,10589.8752,13367.721599999999,13377.1392,620.655264,620.655264,4979.93184,447.548544,1794.9945599999999,851.619744,3414.9340800000004,845.961408,4050.83808,1713.3120000000001,3551.06592,25748.928,25748.928,41198.0256,10299.5712,86850.144,24558.768000000004,38892.2688,58954.86719999999,16228.8576,6733.25568,53091.5904,16004.649599999999,41225.8464,14702.083200000001,54779.06880000001,68874.192,27549.7632,27549.7632,13774.838399999999,32399.6544,48624.537599999996,1676.5488,1676.5488,136.52755200000001,136.52755200000001,241.16832,241.16832,25.964927999999997,103.85971199999999,773.5201920000001,3094.07904,289.982592,1159.92864,3.3274368,13.3097472,22.6072512,90.428832,101.802528,101.802528,29.9956608,29.9956608,322.157088,483.23519999999996,0,168.041952,252.062496,0,29237.76,0,6245.49312,0,38291.8752,9572.947199999999,5751.8985600000005,1437.9724800000001,2617.60032,654.399648,241.965792,60.4914048,423.291744,105.82272,1007.2598399999999,251.813664,946.3910400000001,0,776.180448,0
1994-08-01,0,0,1544.7456,3089.49984,3089.49984,5163.45408,5178.19392,8754.912,35019.648,1683.77184,3928.80672,2203.77888,3037.23648,7231.8096,28927.2384,2491.72416,9969.4368,12480.9984,12483.849600000001,595.587168,595.587168,4769.38368,426.89376,1709.09568,803.7835200000001,3217.74336,790.487424,3391.83936,1624.02624,2279.62944,25241.932800000002,25241.932800000002,40387.0752,10096.7904,101906.208,29069.1936,39256.099200000004,59016.124800000005,13706.064,5544.09792,47434.2048,14694.8256,36515.4912,12397.1904,45528.3936,57735.1584,23094.1152,23094.1152,11547.014399999998,28764.892799999998,43156.4544,2463.42816,2463.42816,200.60524800000002,200.60524800000002,360.97660799999994,360.97660799999994,38.863843200000005,155.45520000000002,1168.82784,4675.302720000001,438.178464,1752.7104,4.4169408,17.6677632,30.0095712,120.038112,145.896768,145.896768,42.987801600000004,42.987801600000004,635.658624,953.4844800000001,0,331.56864,497.35296,0,38101.7952,0,8138.95776,0,47417.2704,11854.339199999999,7128.7776,1782.1900799999999,3137.90976,784.47744,290.06208,72.5156064,667.9411200000001,166.98528000000002,1187.80128,296.95075199999997,1179.2736,0,900.5385600000001,0
1994-09-01,0,0,1501.5456,3003.09984,3003.09984,5050.50336,5054.03712,8413.502400000001,33654.009600000005,2832.9264,6744.00384,2020.66272,2222.77824,6929.99712,27720.0576,2420.69472,9683.4528,12026.448,12027.312,586.316448,586.316448,4691.8656,415.456992,1662.22368,771.333408,3085.9919999999997,763.913376,3128.6822399999996,1567.10592,1780.03008,25696.569600000003,25696.569600000003,41114.304000000004,10278.576000000001,131087.808,39020.3136,41872.032,63245.318400000004,17402.4288,7139.1024,52850.015999999996,22553.856,45886.3488,15344.640000000001,40267.3248,52192.3392,20877.004800000002,20877.004800000002,10438.502400000001,34893.6768,52350.623999999996,4445.46144,4445.46144,362.00908799999996,362.00908799999996,1110.11904,1110.11904,119.51884799999999,478.073664,2685.6144,10742.4576,1006.80192,4027.20768,46.9310112,187.723872,318.858336,1275.4368000000002,635.5653120000001,635.5653120000001,187.266816,187.266816,1402.6521599999999,2103.97824,0,731.64384,1097.47008,0,50195.548800000004,0,10723.2768,0,52844.4864,13211.164799999999,8099.343360000001,2024.8358400000002,4181.6736,1045.41408,386.54582400000004,96.636672,777.3408,194.3352,1224.42624,306.10656,1486.83168,0,1105.47072,0
1994-10-01,0,0,1371.5913600000001,2743.1827200000002,2743.1827200000002,4636.0944,4636.29312,7583.967360000001,30335.9904,3916.93536,9165.1392,1732.39776,1741.40928,6254.54784,25018.2432,2209.9824,8839.9296,10889.3376,10889.424,541.17072,541.17072,4329.48672,378.425952,1513.728,692.6065920000001,2770.46784,695.829312,2793.33792,1414.39392,1439.3721600000001,24290.236800000002,24290.236800000002,38864.1888,9716.112,132909.12,35665.488000000005,41531.616,62445.5136,20272.6368,8414.1936,53513.568,15797.4624,50669.9712,15427.3248,33972.5664,44550.9504,17820.432,17820.432,8910.2592,38371.2768,57561.580799999996,6006.54528,6006.54528,489.13459200000005,489.13459200000005,1734.57504,1734.57504,186.74928,746.9988480000001,3572.9683200000004,14291.856,1482.20064,5928.793919999999,76.7369376,306.948096,559.105632,2236.4208000000003,972.3456,972.3456,286.498944,286.498944,1983.7008,2975.5468800000003,0,1034.7264,1552.0896,0,47322.4032,0,10109.4048,0,50086.684799999995,12521.6928,7716.582719999999,1929.14784,4674.222720000001,1168.56,445.8456,111.461184,832.46832,208.116864,1172.54304,293.13532799999996,2084.54688,0,1503.69696,0
1994-11-01,0,0,1346.14656,2692.30176,2692.30176,4570.7328,4570.7328,7352.86464,29411.510400000003,4081.26816,9596.7072,1606.9017600000002,1606.9017600000002,6074.96544,24299.913600000003,2168.7264,8674.9056,10594.2816,10594.2816,536.460192,536.460192,4291.704,370.36310399999996,1481.4576,669.313152,2677.25952,682.7267519999999,2732.06304,1371.84192,1375.03872,24599.807999999997,24599.807999999997,39359.692800000004,9839.923200000001,133962.33599999998,47218.032,43182.0288,65177.6544,22007.548800000004,9181.2096,54376.012800000004,18066.1536,62554.032,20304.2592,39933.648,52971.3216,21188.5632,21188.5632,10594.2816,40435.027200000004,60657.6384,7281.446400000001,7281.446400000001,592.953696,592.953696,2519.15616,2519.15616,271.220832,1084.8816,3631.40928,14525.6544,1740.14784,6960.58272,129.534336,518.13648,745.94736,2983.78944,1144.9728,1144.9728,337.362624,337.362624,2110.81248,3166.2144,0,1101.0297600000001,1651.5446399999998,0,51800.7744,0,11067.321600000001,0,54524.2752,13631.0688,8477.33472,2119.33152,4656.62304,1164.1536,430.44912,107.612064,937.3881600000001,234.346176,1328.8319999999999,332.207136,2560.70592,0,1827.55872,0
1994-12-01,0,0,1242.71712,2485.4256,2485.4256,4236.77088,4236.77088,6715.4486400000005,26861.8464,3961.872,9260.4384,1411.13664,1411.13664,5556.19392,22224.7584,2003.3568,8013.418559999999,9690.9696,9690.9696,500.432256,500.432256,4003.44768,341.44156799999996,1365.7679999999998,610.2319679999999,2440.93824,631.457856,2525.83488,1253.016,1253.016,23339.923199999997,23339.923199999997,37343.894400000005,9335.952,134116.128,58107.110400000005,44145.1296,66850.3584,23843.376,10000.5408,58316.803199999995,20543.9328,105123.74399999999,38974.5216,42231.9744,54523.583999999995,21809.52,21809.52,10904.716799999998,42732.576,64101.628800000006,7319.6352,7319.6352,596.0640960000001,596.0640960000001,2710.6012800000003,2710.6012800000003,291.858336,1167.42816,4029.6528,16118.6112,1932.27552,7729.09344,129.789216,519.155136,918.88128,3675.5078399999998,1365.2928,1365.2928,402.27840000000003,402.27840000000003,2273.59008,3410.3894400000004,0,1185.93504,1778.9068799999998,0,53337.2256,0,11396.591999999999,0,55057.536,13764.384,8519.70528,2129.92416,4980.096,1245.024,460.350432,115.08739200000001,1129.56768,282.392352,1632.82176,408.206304,2953.4284799999996,0,2130.57216,0
1995-01-01,0,0,1185.3216,2370.65184,2370.65184,4057.6463999999996,4057.6463999999996,6347.4796799999995,25390.0224,3729.57696,8705.664,1283.04,1283.04,5258.06208,21032.2656,1913.06016,7652.22336,9162.288,9162.288,482.41008,482.41008,3859.25472,325.767744,1303.06752,576.0616319999999,2304.25344,603.661248,2414.64672,1183.61088,1183.61088,23118.1344,23118.1344,36989.0496,9247.2192,142871.904,85872.87359999999,44008.0992,66177.3888,23424.336,9825.7536,58499.3664,15852.4128,129168.864,50021.9712,36439.027200000004,47450.3616,18980.265600000002,18980.265600000002,9490.089600000001,42350.688,63528.1056,7332.163199999999,7332.163199999999,597.083616,597.083616,2762.24256,2762.24256,297.43199999999996,1189.7279999999998,4437.65952,17750.6208,2087.11296,8348.45184,137.526336,550.10448,980.50176,3922.00704,1499.7830399999998,1499.7830399999998,441.904896,441.904896,2262.05568,3393.08352,0,1180.01664,1770.02496,0,54639.1008,0,11672.121599999999,0,55017.5328,13754.3616,8509.93344,2127.4876799999997,5164.0848000000005,1291.02336,477.35740799999996,119.339136,747.832608,186.958368,1692.7401599999998,423.18547199999995,2559.57408,0,2077.41888,0
