Runoff/Infiltration Link,QuebCam,QuebCam2
1 Apr 1994,0.545189,0.545189
01-may-94,0.48532,0.48532
01-jun-94,0.46902,0.46902
01-jul-94,0.431205,0.431205
1 Aug 1994,0.40532,0.40532
01-sept-94,0.389514,0.389514
01-oct-94,0.351111,0.351111
01-nov-94,0.340411,0.340411
1 Dec 1994,0.310901,0.310901
1 Jan 1995,0.293866,0.293866
01-feb-95,0.307219,0.307219
01-mar-95,0.260516,0.260516
1 Apr 1995,0.250905,0.250905
01-may-95,0.225367,0.225367
01-jun-95,0.215915,0.215915
01-jul-95,0.19453,0.19453
1 Aug 1995,0.181667,0.181667
01-sept-95,0.176417,0.176417
01-oct-95,0.161207,0.161207
01-nov-95,0.157689,0.157689
1 Dec 1995,0.145369,0.145369
1 Jan 1996,0.138694,0.138694
01-feb-96,0.14103,0.14103
01-mar-96,0.124654,0.124654
1 Apr 1996,0.121764,0.121764
01-may-96,0.111086,0.111086
01-jun-96,0.107687,0.107687
01-jul-96,0.0977565,0.0977565
1 Aug 1996,0.0975526,0.0975526
01-sept-96,0.102308,0.102308
01-oct-96,0.0951109,0.0951109
01-nov-96,0.0936065,0.0936065
1 Dec 1996,0.0866667,0.0866667
1 Jan 1997,0.083004,0.083004
01-feb-97,0.0877447,0.0877447
01-mar-97,0.0750997,0.0750997
1 Apr 1997,0.0729379,0.0729379
01-may-97,0.0661369,0.0661369
01-jun-97,0.154465,0.154465
01-jul-97,0.272784,0.272784
1 Aug 1997,0.5268,0.5268
01-sept-97,0.815992,0.815992
01-oct-97,0.76601,0.76601
01-nov-97,0.743495,0.743495
1 Dec 1997,0.67121,0.67121
1 Jan 1998,0.626198,0.626198
01-feb-98,0.646689,0.646689
01-mar-98,0.542372,0.542372
1 Apr 1998,0.518202,0.518202
01-may-98,0.462694,0.462694
01-jun-98,0.470093,0.470093
01-jul-98,0.453928,0.453928
1 Aug 1998,0.427823,0.427823
01-sept-98,0.412747,0.412747
01-oct-98,0.373074,0.373074
01-nov-98,0.361825,0.361825
1 Dec 1998,0.330509,0.330509
1 Jan 1999,0.312457,0.312457
01-feb-99,0.326605,0.326605
01-mar-99,0.281056,0.281056
1 Apr 1999,0.275284,0.275284
01-may-99,0.248067,0.248067
01-jun-99,0.246353,0.246353
01-jul-99,0.232932,0.232932
1 Aug 1999,0.224086,0.224086
01-sept-99,0.228544,0.228544
01-oct-99,0.222433,0.222433
01-nov-99,0.224212,0.224212
1 Dec 1999,0.206377,0.206377
1 Jan 2000,0.196179,0.196179
01-feb-00,0.198904,0.198904
01-mar-00,0.175346,0.175346
1 Apr 2000,0.169634,0.169634
01-may-00,0.176902,0.176902
01-jun-00,0.2482,0.2482
01-jul-00,0.319259,0.319259
1 Aug 2000,0.351088,0.351088
01-sept-00,0.353932,0.353932
01-oct-00,0.324752,0.324752
01-nov-00,0.316173,0.316173
1 Dec 2000,0.289215,0.289215
1 Jan 2001,0.27373,0.27373
01-feb-01,0.286376,0.286376
01-mar-01,0.249297,0.249297
1 Apr 2001,0.246556,0.246556
01-may-01,0.222087,0.222087
01-jun-01,0.21363,0.21363
01-jul-01,0.192384,0.192384
1 Aug 2001,0.196672,0.196672
01-sept-01,0.211702,0.211702
01-oct-01,0.196804,0.196804
01-nov-01,0.192689,0.192689
1 Dec 2001,0.180015,0.180015
1 Jan 2002,0.173962,0.173962
01-feb-02,0.182856,0.182856
01-mar-02,0.155636,0.155636
1 Apr 2002,0.172796,0.172796
01-may-02,0.271832,0.271832
01-jun-02,0.405428,0.405428
01-jul-02,0.491136,0.491136
