,0
1994-04-01,0.0
1994-05-01,0.0
1994-06-01,1.625
1994-07-01,0.03125
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.15625
1994-11-01,0.0
1994-12-01,0.0
1995-01-01,0.0
1995-02-01,0.0
1995-03-01,0.0
1995-04-01,0.03125
1995-05-01,0.0
1995-06-01,0.0
1995-07-01,0.5
1995-08-01,0.0
1995-09-01,0.0625
1995-10-01,0.0
1995-11-01,0.0
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,0.0625
1996-07-01,5.84375
1996-08-01,4.25
1996-09-01,0.015625
1996-10-01,1.3125
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,97.5625
1997-07-01,2.96875
1997-08-01,117.09375
1997-09-01,0.203125
1997-10-01,5.046875
1997-11-01,0.0
1997-12-01,0.375
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.03125
1998-05-01,1.125
1998-06-01,5.609375
1998-07-01,2.203125
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,0.109375
1999-04-01,0.125
1999-05-01,0.0
1999-06-01,2.15625
1999-07-01,0.421875
1999-08-01,2.359375
1999-09-01,0.0
1999-10-01,14.65625
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,17.84375
2000-06-01,38.953125
2000-07-01,10.8125
2000-08-01,0.0
2000-09-01,0.171875
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.59375
2001-04-01,0.421875
2001-05-01,0.453125
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,9.421875
2001-09-01,0.0625
2001-10-01,0.09375
2001-11-01,0.0
2001-12-01,0.015625
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,6.046875
2002-05-01,33.15625
2002-06-01,14.96875
2002-07-01,22.4375
2002-08-01,24.9375
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.953125
2003-07-01,0.5625
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.09375
2004-04-01,0.0
2004-05-01,6.765625
2004-06-01,0.109375
2004-07-01,52.765625
2004-08-01,0.40625
2004-09-01,0.0
2004-10-01,1.046875
2004-11-01,0.078125
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.875
2005-05-01,3.203125
2005-06-01,0.046875
2005-07-01,10.28125
2005-08-01,16.03125
2005-09-01,0.03125
2005-10-01,0.015625
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,2.546875
2006-07-01,3.265625
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.4375
2007-04-01,0.0
2007-05-01,0.140625
2007-06-01,0.03125
2007-07-01,0.0
2007-08-01,1.203125
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.203125
2008-06-01,7.390625
2008-07-01,24.09375
2008-08-01,0.03125
2008-09-01,2.3125
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.015625
2009-01-01,0.0
2009-02-01,1.015625
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,1.515625
2009-06-01,8.125
2009-07-01,4.53125
2009-08-01,2.875
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.015625
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,42.375
2010-06-01,0.609375
2010-07-01,0.0
2010-08-01,5.625
2010-09-01,1.140625
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.03125
2011-03-01,0.0
2011-04-01,0.53125
2011-05-01,0.0
2011-06-01,22.03125
2011-07-01,46.234375
2011-08-01,0.015625
2011-09-01,0.0
2011-10-01,17.28125
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.671875
2012-05-01,0.046875
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.421875
2012-09-01,1.375
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.296875
2013-02-01,0.0
2013-03-01,0.046875
2013-04-01,0.015625
2013-05-01,18.40625
2013-06-01,0.0
2013-07-01,7.4375
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,1.875
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,3.65625
2014-06-01,21.734375
2014-07-01,1.921875
2014-08-01,0.0625
2014-09-01,13.890625
2014-10-01,0.34375
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,64.234375
2015-04-01,0.0
2015-05-01,0.078125
2015-06-01,0.03125
2015-07-01,22.625
2015-08-01,18.765625
2015-09-01,0.703125
2015-10-01,12.09375
2015-11-01,0.171875
2015-12-01,0.015625
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0625
2016-04-01,2.5
2016-05-01,8.265625
2016-06-01,7.5625
2016-07-01,0.125
2016-08-01,0.03125
2016-09-01,0.0
2016-10-01,0.03125
2016-11-01,0.0
2016-12-01,0.203125
2017-01-01,0.125
2017-02-01,0.046875
2017-03-01,0.0
2017-04-01,5.734375
2017-05-01,76.515625
2017-06-01,26.25
2017-07-01,0.46875
2017-08-01,4.390625
2017-09-01,0.0625
2017-10-01,0.0
2017-11-01,0.0
2017-12-01,0.15625
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.0
2018-04-01,0.796875
2018-05-01,0.609375
2018-06-01,5.015625
2018-07-01,6.140625
2018-08-01,0.03125
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,0.0
2018-12-01,0.03125
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.28125
2019-04-01,3.21875
2019-05-01,2.46875
2019-06-01,0.953125
2019-07-01,2.9375
2019-08-01,0.0
2019-09-01,1.265625
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.140625
2020-01-01,1.984375
2020-02-01,0.0
2020-03-01,0.1875
2020-04-01,0.359375
2020-05-01,2.9375
2020-06-01,18.734375
2020-07-01,0.78125
2020-08-01,0.03125
2020-09-01,0.3125
2020-10-01,0.0
2020-11-01,0.15625
2020-12-01,0.111328125
2021-01-01,1.833984375
2021-02-01,0.060546875
2021-03-01,0.21484375
2021-04-01,0.109375
2021-05-01,0.55078125
2021-06-01,8.33203125
2021-07-01,0.251953125
2021-08-01,3.791015625
2021-09-01,0.173828125
2021-10-01,0.138671875
2021-11-01,0.09375
2021-12-01,0.095703125
2022-01-01,0.939453125
2022-02-01,0.033203125
2022-03-01,0.02734375
