,ZONE_1,ZONE_2,ZONE_3,ZONE_4
1994-04-01,0.0,0.0,0.0,0.27794858579282405
1994-05-01,0.0,0.0,0.0,0.3075130208333333
1994-06-01,0.0,0.0,0.0,0.31770939579716434
1994-07-01,0.0,0.0,0.0,0.3224009422019676
1994-08-01,0.0,0.0,0.0,0.3173358832465278
1994-09-01,0.0,0.0,0.0,0.3041906964337384
1994-10-01,0.0,0.0,0.0,0.2951237431278935
1994-11-01,0.0,0.0,0.0,0.27916937934027775
1994-12-01,0.0,0.0,0.0,0.2733832013165509
1995-01-01,0.0,0.0,0.0,0.2844158935546875
1995-02-01,0.0,0.0,0.0,0.2790267605251736
1995-03-01,0.0,0.0,0.0,0.29115510163483793
1995-04-01,0.0,0.0,0.0,0.30177879050925926
1995-05-01,0.0,0.0,0.0,0.3113493516710069
1995-06-01,0.0,0.0,0.0,0.3143460648148148
1995-07-01,0.0,0.0,0.0,0.31343135127314814
1995-08-01,0.0,0.0,0.0,0.2973904079861111
1995-09-01,0.0,0.0,0.0,0.28857898853443287
1995-10-01,0.0,0.0,0.0,0.2766834852430555
1995-11-01,0.0,0.0,0.0,0.26779744466145833
1995-12-01,0.0,0.0,0.0,0.2618700267650463
1996-01-01,0.0,0.0,0.0,0.26561778880931713
1996-02-01,0.0,0.0,0.0,0.2593419505931713
1996-03-01,0.0,0.0,0.0,0.2699347149884259
1996-04-01,0.0,0.0,0.0,0.28196589717158566
1996-05-01,0.0,0.0,0.0,0.2927241572627315
1996-06-01,0.0,0.0,0.0,0.29303249782986107
1996-07-01,0.0,0.0,0.0,0.29178181966145833
1996-08-01,0.0,0.0,0.0,0.28559916178385414
1996-09-01,0.0,0.0,0.0,0.2738845486111111
1996-10-01,0.0,0.0,0.0,0.2644836651837384
1996-11-01,0.0,0.0,0.0,0.2558511013454861
1996-12-01,0.0,0.0,0.0,0.24765430591724535
1997-01-01,0.0,0.0,0.0,0.24970436378761574
1997-02-01,0.0,0.0,0.0,0.24907041196469906
1997-03-01,0.0,0.0,0.0,0.2576172779224537
1997-04-01,0.0,0.0,0.0,0.26669255009403936
1997-05-01,0.0,0.0,0.0,0.2714947961877893
1997-06-01,0.0,0.0,0.0,0.256891027379919
1997-07-01,0.0,0.0,0.0,0.27299976490162037
1997-08-01,0.0,0.0,0.0,0.24712797941984951
1997-09-01,0.0,0.0,0.0,0.2559143292462384
1997-10-01,0.0,0.0,0.0,0.3060134774667245
1997-11-01,0.0,0.0,0.0,0.2779255054615162
1997-12-01,0.0,0.0,0.0,0.37025408709490737
1998-01-01,0.0,0.0,0.0,0.34709886338975693
1998-02-01,0.0,0.0,0.0,0.30603357385706015
1998-03-01,0.0,0.0,0.0,0.276517017505787
