Start date,End date,Mid date,Measured flow,Flow,Channel loss or routed flow,Last natural,Capacity,Minimum,GroupLink,Hydrologic state,,,,,,,
01/01/1990,02/01/1990,01/16/1990,4633.63,0,0,0,299999999.99,0,(null),0,,,,,,,
02/01/1990,03/01/1990,02/15/1990,3314.3,0,0,0,299999999.99,0,(null),0,,,,,,,
03/01/1990,04/01/1990,03/16/1990,2919.46,0,0,0,299999999.99,0,(null),0,,,,,,,
04/01/1990,05/01/1990,04/16/1990,3162.24,0,0,0,299999999.99,0,(null),0,,,,,,,
05/01/1990,06/01/1990,05/16/1990,3160.51,67.16,0,67.16,299999999.99,0,(null),0,,,,,,,
06/01/1990,07/01/1990,06/16/1990,2514.24,301.15,0,301.15,299999999.99,0,(null),0,,,,,,,
07/01/1990,08/01/1990,07/16/1990,2598.05,752.84,0,752.84,299999999.99,0,(null),0,,,,,,,
08/01/1990,09/01/1990,08/16/1990,2410.56,1538,0,1538,299999999.99,0,(null),0,,,,,,,
09/01/1990,10/01/1990,09/16/1990,3939.84,4149.25,0,4149.25,299999999.99,0,(null),0,,,,,,,
10/01/1990,11/01/1990,10/16/1990,5142.53,4509.39,0,4509.39,299999999.99,0,(null),0,,,,,,,
11/01/1990,12/01/1990,11/16/1990,5106.24,3639.19,0,3639.19,299999999.99,0,(null),0,,,,,,,
12/01/1990,01/01/1991,12/16/1990,3214.08,3130.67,0,3130.67,299999999.99,0,(null),0,,,,,,,
01/01/1991,02/01/1991,01/16/1991,2169.5,2598.26,0,2598.26,299999999.99,0,(null),0,,,,,,,
02/01/1991,03/01/1991,02/15/1991,1669.25,1964.83,0,1964.83,299999999.99,0,(null),0,,,,,,,
03/01/1991,04/01/1991,03/16/1991,1767.74,1822.25,0,1822.25,299999999.99,0,(null),0,,,,,,,
04/01/1991,05/01/1991,04/16/1991,2099.52,1472.16,0,1472.16,299999999.99,0,(null),0,,,,,,,
05/01/1991,06/01/1991,05/16/1991,5356.8,4203.16,0,4203.16,299999999.99,0,(null),0,,,,,,,
06/01/1991,07/01/1991,06/16/1991,5443.2,7392.12,0,7392.12,299999999.99,0,(null),0,,,,,,,
07/01/1991,08/01/1991,07/16/1991,13338.43,13074.31,0,13074.31,299999999.99,0,(null),0,,,,,,,
08/01/1991,09/01/1991,08/16/1991,7526.3,13237.47,0,13237.47,299999999.99,0,(null),0,,,,,,,
09/01/1991,10/01/1991,09/16/1991,13400.64,11939.33,0,11939.33,299999999.99,0,(null),0,,,,,,,
10/01/1991,11/01/1991,10/16/1991,12240.29,11202.53,0,11202.53,299999999.99,0,(null),0,,,,,,,
11/01/1991,12/01/1991,11/16/1991,21746.88,9023.75,0,9023.75,299999999.99,0,(null),0,,,,,,,
12/01/1991,01/01/1992,12/16/1991,18079.2,7762.8,0,7762.8,299999999.99,0,(null),0,,,,,,,
01/01/1992,02/01/1992,01/16/1992,10713.6,6442.64,0,6442.64,299999999.99,0,(null),0,,,,,,,
02/01/1992,03/01/1992,02/15/1992,5437.15,5031.29,0,5031.29,299999999.99,0,(null),0,,,,,,,
03/01/1992,04/01/1992,03/16/1992,4017.6,4491.37,0,4491.37,299999999.99,0,(null),0,,,,,,,
04/01/1992,05/01/1992,04/16/1992,4224.96,3627.13,0,3627.13,299999999.99,0,(null),0,,,,,,,
05/01/1992,06/01/1992,05/16/1992,6267.46,5605.38,0,5605.38,299999999.99,0,(null),0,,,,,,,
06/01/1992,07/01/1992,06/16/1992,10005.12,9328.24,0,9328.24,299999999.99,0,(null),0,,,,,,,
07/01/1992,08/01/1992,07/16/1992,8517.31,11025.26,0,11025.26,299999999.99,0,(null),0,,,,,,,
08/01/1992,09/01/1992,08/16/1992,7472.74,10148.18,0,10148.18,299999999.99,0,(null),0,,,,,,,
09/01/1992,10/01/1992,09/16/1992,8890.56,9642.88,0,9642.88,299999999.99,0,(null),0,,,,,,,
10/01/1992,11/01/1992,10/16/1992,13927.68,8836.49,0,8836.49,299999999.99,0,(null),0,,,,,,,
11/01/1992,12/01/1992,11/16/1992,17444.16,7129.86,0,7129.86,299999999.99,0,(null),0,,,,,,,
12/01/1992,01/01/1993,12/16/1992,12963.46,6133.56,0,6133.56,299999999.99,0,(null),0,,,,,,,
01/01/1993,02/01/1993,01/16/1993,7633.44,5090.48,0,5090.48,299999999.99,0,(null),0,,,,,,,
02/01/1993,03/01/1993,02/15/1993,4427.14,3849.47,0,3849.47,299999999.99,0,(null),0,,,,,,,
03/01/1993,04/01/1993,03/16/1993,4044.38,3570.13,0,3570.13,299999999.99,0,(null),0,,,,,,,
04/01/1993,05/01/1993,04/16/1993,5495.04,3811.56,0,3811.56,299999999.99,0,(null),0,,,,,,,
05/01/1993,06/01/1993,05/16/1993,15963.26,9979.7,0,9979.7,299999999.99,0,(null),0,,,,,,,
06/01/1993,07/01/1993,06/16/1993,8449.92,10519.26,0,10519.26,299999999.99,0,(null),0,,,,,,,
07/01/1993,08/01/1993,07/16/1993,6883.49,12167.75,0,12167.75,299999999.99,0,(null),0,,,,,,,
08/01/1993,09/01/1993,08/16/1993,5758.56,10561.65,0,10561.65,299999999.99,0,(null),0,,,,,,,
09/01/1993,10/01/1993,09/16/1993,5935.68,8761.83,0,8761.83,299999999.99,0,(null),0,,,,,,,
10/01/1993,11/01/1993,10/16/1993,8115.55,7717.52,0,7717.52,299999999.99,0,(null),0,,,,,,,
11/01/1993,12/01/1993,11/16/1993,9979.2,6216.54,0,6216.54,299999999.99,0,(null),0,,,,,,,
12/01/1993,01/01/1994,12/16/1993,8142.34,5347.87,0,5347.87,299999999.99,0,(null),0,,,,,,,
01/01/1994,02/01/1994,01/16/1994,4928.26,4438.4,0,4438.4,299999999.99,0,(null),0,,,,,,,
02/01/1994,03/01/1994,02/15/1994,3265.92,3356.37,0,3356.37,299999999.99,0,(null),0,,,,,,,
03/01/1994,04/01/1994,03/16/1994,3053.38,3112.81,0,3112.81,299999999.99,0,(null),0,,,,,,,
04/01/1994,05/01/1994,04/16/1994,3343.68,2510.42,0,2510.42,299999999.99,0,(null),0,,,,,,,
05/01/1994,06/01/1994,05/16/1994,3615.84,2601.79,0,2601.79,299999999.99,0,(null),0,,,,,,,
06/01/1994,07/01/1994,06/16/1994,3395.52,3929.55,0,3929.55,299999999.99,0,(null),0,,,,,,,
07/01/1994,08/01/1994,07/16/1994,5008.61,8556.01,0,8556.01,299999999.99,0,(null),0,,,,,,,
08/01/1994,09/01/1994,08/16/1994,5410.37,9570.21,0,9570.21,299999999.99,0,(null),0,,,,,,,
09/01/1994,10/01/1994,09/16/1994,6454.08,8000.85,0,8000.85,299999999.99,0,(null),0,,,,,,,
10/01/1994,11/01/1994,10/16/1994,7981.63,7518.18,0,7518.18,299999999.99,0,(null),0,,,,,,,
11/01/1994,12/01/1994,11/16/1994,12078.72,6055.97,0,6055.97,299999999.99,0,(null),0,,,,,,,
12/01/1994,01/01/1995,12/16/1994,7312.03,5209.73,0,5209.73,299999999.99,0,(null),0,,,,,,,
01/01/1995,02/01/1995,01/16/1995,4178.3,4323.76,0,4323.76,299999999.99,0,(null),0,,,,,,,
02/01/1995,03/01/1995,02/15/1995,2830.46,3269.68,0,3269.68,299999999.99,0,(null),0,,,,,,,
03/01/1995,04/01/1995,03/16/1995,2651.62,3032.4,0,3032.4,299999999.99,0,(null),0,,,,,,,
04/01/1995,05/01/1995,04/16/1995,2877.12,2442.63,0,2442.63,299999999.99,0,(null),0,,,,,,,
05/01/1995,06/01/1995,05/16/1995,3106.94,2202.31,0,2202.31,299999999.99,0,(null),0,,,,,,,
06/01/1995,07/01/1995,06/16/1995,3265.92,3971,0,3971,299999999.99,0,(null),0,,,,,,,
07/01/1995,08/01/1995,07/16/1995,2999.81,6145.08,0,6145.08,299999999.99,0,(null),0,,,,,,,
08/01/1995,09/01/1995,08/16/1995,3053.38,6203.84,0,6203.84,299999999.99,0,(null),0,,,,,,,
09/01/1995,10/01/1995,09/16/1995,4458.24,6708.08,0,6708.08,299999999.99,0,(null),0,,,,,,,
10/01/1995,11/01/1995,10/16/1995,5115.74,5997.1,0,5997.1,299999999.99,0,(null),0,,,,,,,
11/01/1995,12/01/1995,11/16/1995,6402.24,4835.97,0,4835.97,299999999.99,0,(null),0,,,,,,,
12/01/1995,01/01/1996,12/16/1995,3696.19,4160.21,0,4160.21,299999999.99,0,(null),0,,,,,,,
01/01/1996,02/01/1996,01/16/1996,2410.56,3452.71,0,3452.71,299999999.99,0,(null),0,,,,,,,
02/01/1996,03/01/1996,02/15/1996,1728.86,2696.35,0,2696.35,299999999.99,0,(null),0,,,,,,,
03/01/1996,04/01/1996,03/16/1996,1928.45,2407,0,2407,299999999.99,0,(null),0,,,,,,,
04/01/1996,05/01/1996,04/16/1996,2488.32,1938.86,0,1938.86,299999999.99,0,(null),0,,,,,,,
05/01/1996,06/01/1996,05/16/1996,2356.99,1667.93,0,1667.93,299999999.99,0,(null),0,,,,,,,
06/01/1996,07/01/1996,06/16/1996,1995.84,1343.54,0,1343.54,299999999.99,0,(null),0,,,,,,,
07/01/1996,08/01/1996,07/16/1996,2303.42,1178.15,0,1178.15,299999999.99,0,(null),0,,,,,,,
08/01/1996,09/01/1996,08/16/1996,1794.53,1322,0,1322,299999999.99,0,(null),0,,,,,,,
09/01/1996,10/01/1996,09/16/1996,1788.48,1523.96,0,1523.96,299999999.99,0,(null),0,,,,,,,
10/01/1996,11/01/1996,10/16/1996,1928.45,1311.01,0,1311.01,299999999.99,0,(null),0,,,,,,,
11/01/1996,12/01/1996,11/16/1996,1658.88,1056.03,0,1056.03,299999999.99,0,(null),0,,,,,,,
12/01/1996,01/01/1997,12/16/1996,1232.06,908.46,0,908.46,299999999.99,0,(null),0,,,,,,,
01/01/1997,02/01/1997,01/16/1997,1178.5,753.97,0,753.97,299999999.99,0,(null),0,,,,,,,
02/01/1997,03/01/1997,02/15/1997,1064.45,570.16,0,570.16,299999999.99,0,(null),0,,,,,,,
03/01/1997,04/01/1997,03/16/1997,1312.42,528.78,0,528.78,299999999.99,0,(null),0,,,,,,,
04/01/1997,05/01/1997,04/16/1997,1347.84,425.94,0,425.94,299999999.99,0,(null),0,,,,,,,
05/01/1997,06/01/1997,05/16/1997,1767.74,755.2,0,755.2,299999999.99,0,(null),0,,,,,,,
06/01/1997,07/01/1997,06/16/1997,11067.84,9153.66,0,9153.66,299999999.99,0,(null),0,,,,,,,
07/01/1997,08/01/1997,07/16/1997,7365.6,11620.43,0,11620.43,299999999.99,0,(null),0,,,,,,,
08/01/1997,09/01/1997,08/16/1997,12240.29,14040.82,0,14040.82,299999999.99,0,(null),0,,,,,,,
09/01/1997,10/01/1997,09/16/1997,16459.2,18490.57,0,18490.57,299999999.99,0,(null),0,,,,,,,
10/01/1997,11/01/1997,10/16/1997,14757.98,17400.55,0,17400.55,299999999.99,0,(null),0,,,,,,,
11/01/1997,12/01/1997,11/16/1997,22680,14322.35,0,14322.35,299999999.99,0,(null),0,,,,,,,
12/01/1997,01/01/1998,12/16/1997,34337.09,12321.01,0,12321.01,299999999.99,0,(null),0,,,,,,,
01/01/1998,02/01/1998,01/16/1998,22739.62,10225.67,0,10225.67,299999999.99,0,(null),0,,,,,,,
02/01/1998,03/01/1998,02/15/1998,9870.34,7732.77,0,7732.77,299999999.99,0,(null),0,,,,,,,
03/01/1998,04/01/1998,03/16/1998,4044.38,7171.62,0,7171.62,299999999.99,0,(null),0,,,,,,,
04/01/1998,05/01/1998,04/16/1998,5158.08,5960.59,0,5960.59,299999999.99,0,(null),0,,,,,,,
05/01/1998,06/01/1998,05/16/1998,5169.31,5539.94,0,5539.94,299999999.99,0,(null),0,,,,,,,
06/01/1998,07/01/1998,06/16/1998,5002.56,5033.92,0,5033.92,299999999.99,0,(null),0,,,,,,,
07/01/1998,08/01/1998,07/16/1998,4151.52,4551.84,0,4551.84,299999999.99,0,(null),0,,,,,,,
08/01/1998,09/01/1998,08/16/1998,3508.7,3777.74,0,3777.74,299999999.99,0,(null),0,,,,,,,
09/01/1998,10/01/1998,09/16/1998,3291.84,3188.67,0,3188.67,299999999.99,0,(null),0,,,,,,,
10/01/1998,11/01/1998,10/16/1998,2249.86,2928.15,0,2928.15,299999999.99,0,(null),0,,,,,,,
11/01/1998,12/01/1998,11/16/1998,2643.84,2358.66,0,2358.66,299999999.99,0,(null),0,,,,,,,
12/01/1998,01/01/1999,12/16/1998,1982.02,2029.07,0,2029.07,299999999.99,0,(null),0,,,,,,,
01/01/1999,02/01/1999,01/16/1999,1982.02,1684,0,1684,299999999.99,0,(null),0,,,,,,,
02/01/1999,03/01/1999,02/15/1999,2636.93,1273.46,0,1273.46,299999999.99,0,(null),0,,,,,,,
03/01/1999,04/01/1999,03/16/1999,2598.05,1181.04,0,1181.04,299999999.99,0,(null),0,,,,,,,
04/01/1999,05/01/1999,04/16/1999,3162.24,951.35,0,951.35,299999999.99,0,(null),0,,,,,,,
05/01/1999,06/01/1999,05/16/1999,2303.42,818.41,0,818.41,299999999.99,0,(null),0,,,,,,,
06/01/1999,07/01/1999,06/16/1999,1321.92,752.34,0,752.34,299999999.99,0,(null),0,,,,,,,
07/01/1999,08/01/1999,07/16/1999,1392.77,2159.62,0,2159.62,299999999.99,0,(null),0,,,,,,,
08/01/1999,09/01/1999,08/16/1999,3722.98,3255.65,0,3255.65,299999999.99,0,(null),0,,,,,,,
09/01/1999,10/01/1999,09/16/1999,7050.24,6673.42,0,6673.42,299999999.99,0,(null),0,,,,,,,
10/01/1999,11/01/1999,10/16/1999,9427.97,6678.33,0,6678.33,299999999.99,0,(null),0,,,,,,,
11/01/1999,12/01/1999,11/16/1999,10575.36,5379.46,0,5379.46,299999999.99,0,(null),0,,,,,,,
12/01/1999,01/01/2000,12/16/1999,5785.34,4627.76,0,4627.76,299999999.99,0,(null),0,,,,,,,
01/01/2000,02/01/2000,01/16/2000,4794.34,3840.75,0,3840.75,299999999.99,0,(null),0,,,,,,,
02/01/2000,03/01/2000,02/15/2000,3708.29,2999.38,0,2999.38,299999999.99,0,(null),0,,,,,,,
03/01/2000,04/01/2000,03/16/2000,3294.43,2677.5,0,2677.5,299999999.99,0,(null),0,,,,,,,
04/01/2000,05/01/2000,04/16/2000,3732.48,2156.75,0,2156.75,299999999.99,0,(null),0,,,,,,,
05/01/2000,06/01/2000,05/16/2000,3321.22,1855.38,0,1855.38,299999999.99,0,(null),0,,,,,,,
06/01/2000,07/01/2000,06/16/2000,8346.24,16476.39,0,16476.39,299999999.99,0,(null),0,,,,,,,
07/01/2000,08/01/2000,07/16/2000,10392.19,12896.45,0,12896.45,299999999.99,0,(null),0,,,,,,,
08/01/2000,09/01/2000,08/16/2000,6160.32,13128.04,0,13128.04,299999999.99,0,(null),0,,,,,,,
09/01/2000,10/01/2000,09/16/2000,8009.28,12279.3,0,12279.3,299999999.99,0,(null),0,,,,,,,
10/01/2000,11/01/2000,10/16/2000,15427.58,11714.33,0,11714.33,299999999.99,0,(null),0,,,,,,,
11/01/2000,12/01/2000,11/16/2000,19440,9436.01,0,9436.01,299999999.99,0,(null),0,,,,,,,
12/01/2000,01/01/2001,12/16/2000,22337.86,8117.46,0,8117.46,299999999.99,0,(null),0,,,,,,,
01/01/2001,02/01/2001,01/16/2001,8115.55,6736.99,0,6736.99,299999999.99,0,(null),0,,,,,,,
02/01/2001,03/01/2001,02/15/2001,4306.18,5094.59,0,5094.59,299999999.99,0,(null),0,,,,,,,
03/01/2001,04/01/2001,03/16/2001,3160.51,4724.88,0,4724.88,299999999.99,0,(null),0,,,,,,,
