Start date,End date,Mid date,Measured flow,Flow,Channel loss or routed flow,Last natural,Capacity,Minimum,GroupLink,Hydrologic state,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1990-01-01,02/01/1990,01/16/1990,8008.42,0.0,0,0.0,299999999.99,0,(null),0,,,,,,,
1990-02-01,03/01/1990,02/15/1990,5104.51,0.0,0,0.0,299999999.99,0,(null),0,,,,,,,
1990-03-01,04/01/1990,03/16/1990,4740.77,0.0,0,0.0,299999999.99,0,(null),0,,,,,,,
1990-04-01,05/01/1990,04/16/1990,4328.64,0.0,0,0.0,299999999.99,0,(null),0,,,,,,,
1990-05-01,06/01/1990,05/16/1990,4258.66,0.030324074074074073,0,81.22,299999999.99,0,(null),0,,,,,,,
1990-06-01,07/01/1990,06/16/1990,3888.0,0.14050154320987654,0,364.18,299999999.99,0,(null),0,,,,,,,
1990-07-01,08/01/1990,07/16/1990,4928.26,0.33990815412186376,0,910.41,299999999.99,0,(null),0,,,,,,,
1990-08-01,09/01/1990,08/16/1990,5731.78,0.6944145758661888,0,1859.92,299999999.99,0,(null),0,,,,,,,
1990-09-01,10/01/1990,09/16/1990,7335.36,1.93585262345679,0,5017.73,299999999.99,0,(null),0,,,,,,,
1990-10-01,11/01/1990,10/16/1990,8249.47,2.036006571087216,0,5453.24,299999999.99,0,(null),0,,,,,,,
1990-11-01,12/01/1990,11/16/1990,7931.52,1.697878086419753,0,4400.9,299999999.99,0,(null),0,,,,,,,
1990-12-01,01/01/1991,12/16/1990,7231.68,1.413511798088411,0,3785.95,299999999.99,0,(null),0,,,,,,,
1991-01-01,02/01/1991,01/16/1991,7392.38,1.1731257467144565,0,3142.1,299999999.99,0,(null),0,,,,,,,
1991-02-01,03/01/1991,02/15/1991,6120.58,0.9821800595238097,0,2376.09,299999999.99,0,(null),0,,,,,,,
1991-03-01,04/01/1991,03/16/1991,5785.34,0.8227561230585425,0,2203.67,299999999.99,0,(null),0,,,,,,,
1991-04-01,05/01/1991,04/16/1991,6013.44,0.6868402777777778,0,1780.29,299999999.99,0,(null),0,,,,,,,
1991-05-01,06/01/1991,05/16/1991,14222.3,1.8977449223416964,0,5082.92,299999999.99,0,(null),0,,,,,,,
